# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-a" "/mnt/data/bioinfo/rna_seq_project/reference/Saccharomyces_cerevisiae.R64-1-1.111.gtf" "-o" "gene_counts.txt" "aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aligned_sorted.bam
YOR355W	XV	1005137	1006705	+	1569	1774
YOR290C	XV	855147	860258	-	5112	1825
YOR396C-A	XV	1090015	1090497	-	483	0
YOR047C	XV	416347	417681	-	1335	438
YOL014W	XV	299693	300067	+	375	176
YOR244W	XV	792531	793868	+	1338	490
YOL102C	XV	125997	126689	-	693	311
YOL060C	XV	214017	216137	-	2121	1067
YOL041C	XV	251267	252646	-	1380	1654
YOL116W	XV	99809	100957	+	1149	414
YOR353C	XV	998453	1000828	-	2376	544
YOR299W	XV	878435	880675	+	2241	955
YOR366W	XV	1025256	1025609	+	354	0
tD(GUC)O	XV	571958	572029	+	72	14
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	15877
YOR148C	XV	608640	609197	-	558	322
YOR301W	XV	880965	882272	+	1308	416
YOR257W	XV	811008	811493	+	486	301
YOR135C	XV	580159	580500	-	342	6
YOR032W-A	XV	392176	392376	+	201	1
YOR223W	XV	759782	760660	+	879	346
YOR076C	XV	469377	471620	-	2244	388
YOR231C-A	XV	773163	773363	-	201	0
YOR316C-A	XV	907726	907935	-	210	8
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	2
YOR061W	XV	441534	442553	+	1020	1245
YOR025W	XV	378219	379562	+	1344	494
YOR371C	XV	1031489	1034182	-	2694	441
YOL140W	XV	58759	60030	+	1272	1580
YOL062C	XV	210520	211995	-	1476	1232
YOR292C	XV	865653	866582	-	930	273
tG(UCC)O	XV	110962	111033	-	72	0
YOR027W	XV	381053	382822	+	1770	4607
tT(AGU)O2	XV	354041	354113	-	73	4
YOR142W-B	XV	595112	600380	+	5269	75
YOR192C-A	XV	708416	709732	-	1317	0
YOL103W-B	XV	118000	123268	+	5269	69
YOR142W-A	XV	595112	596434	+	1323	0
YOR192C-B	XV	704419	709732	-	5314	120
YOR343W-B	XV	970578	975891	+	5314	252
YOR343W-A	XV	970578	971894	+	1317	0
YOL103W-A	XV	118000	119322	+	1323	0
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	451
YGL156W	VII	210416	213667	+	3252	307
YGL015C	VII	465043	465435	-	393	15
RME2	VII	141898	144120	-	2223	0
YGR251W	VII	995639	996229	+	591	270
YGR162W	VII	824059	826917	+	2859	5488
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	0
YGR005C	VII	504657	505859	-	1203	967
YGL160W	VII	200561	202273	+	1713	796
snR46	VII	545370	545566	+	197	39
tD(GUC)G1	VII	531610	531681	+	72	0
YGL211W	VII	92512	93591	+	1080	564
YGR141W	VII	770569	771972	+	1404	593
YGL239C	VII	49431	49745	-	315	9
YGL097W	VII	321782	323230	+	1449	1737
YGR030C	VII	545681	546157	-	477	137
YGR224W	VII	942806	944647	+	1842	183
YGR142W	VII	772454	773686	+	1233	980
YGR186W	VII	867774	869981	+	2208	1767
YGR181W	VII	858287	858604	+	318	245
YGL081W	VII	357377	358339	+	963	26
YGR082W	VII	644044	644595	+	552	1066
YGL028C	VII	441281	442909	-	1629	1612
YGL021W	VII	454785	457067	+	2283	1100
YGL110C	VII	301537	303411	-	1875	618
YGR167W	VII	832456	833157	+	702	1456
YGL017W	VII	459854	461365	+	1512	271
tA(UGC)G	VII	794417	794489	+	73	2
YGR156W	VII	800546	801823	+	1278	391
YGR291C	VII	1076283	1076504	-	222	0
YGR197C	VII	892497	894140	-	1644	255
YGR041W	VII	577487	579130	+	1644	516
YGL079W	VII	359444	360100	+	657	211
YGL107C	VII	304333	306273	-	1941	1011
YGL168W	VII	187464	187796	+	333	47
YGL228W	VII	67598	69331	+	1734	1807
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	1916
YGL050W	VII	405776	406597	+	822	476
YGR273C	VII	1038715	1039239	-	525	2
YGR086C	VII	649598	650617	-	1020	6473
YGR228W	VII	949365	949709	+	345	1
YGL145W	VII	230243	232348	+	2106	704
YGR098C	VII	682566	687458	-	4893	826
YGR074W	VII	635712	636152	+	441	29
YGL098W	VII	317342	318079	+	738	308
snR7-S	VII	939494	939672	-	179	0
YGL096W	VII	325331	326161	+	831	122
YGR240C-A	VII	974577	974777	-	201	84
YGR172C	VII	842845	843591	-	747	732
YGR194C	VII	886073	887875	-	1803	398
YGL026C	VII	446412	448535	-	2124	4286
YGL213C	VII	90054	91247	-	1194	375
YGL248W	VII	35653	36762	+	1110	514
YGL075C	VII	366925	368088	-	1164	133
YGL256W	VII	15159	16307	+	1149	645
YGL012W	VII	472855	474276	+	1422	4843
YGL082W	VII	355827	356972	+	1146	756
YGR161C	VII	808629	809420	-	792	541
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	0
YGR274C	VII	1039895	1043095	-	3201	828
YGR031C-A	VII	546809	547300	-	492	0
YGL037C	VII	427297	427947	-	651	1036
YGL252C	VII	25718	27484	-	1767	1276
YGL250W	VII	31910	32635	+	726	200
YGR260W	VII	1012485	1014089	+	1605	1961
YGR159C	VII	806412	807656	-	1245	2086
YGR006W	VII	506070	506825	+	756	157
YGL121C	VII	280777	281157	-	381	42
YGL040C	VII	419527	420555	-	1029	1723
YGR130C	VII	751394	753844	-	2451	1470
YGR021W	VII	527632	528504	+	873	572
YGR097W	VII	678695	682135	+	3441	805
YGL170C	VII	184153	185394	-	1242	40
YGL166W	VII	191129	191806	+	678	83
YGL104C	VII	308713	310173	-	1461	200
YGR149W	VII	789031	790329	+	1299	544
YGR195W	VII	888882	889622	+	741	403
tG(GCC)G2	VII	930953	931023	-	71	4
YGR250C	VII	991176	993521	-	2346	982
YGL155W	VII	214081	215211	+	1131	546
YGL216W	VII	84885	87302	+	2418	346
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	682
YGL125W	VII	272520	274322	+	1803	3210
YGR038W	VII	560682	561350	+	669	505
YGR008C	VII	508110	508364	-	255	368
YGR248W	VII	985972	986739	+	768	51
YGL094C	VII	331118	334465	-	3348	1021
YGR131W	VII	754726	755250	+	525	43
YGR163W	VII	827552	828577	+	1026	543
YGR125W	VII	742325	745435	+	3111	1641
YGR279C	VII	1048798	1049958	-	1161	5810
YGL022W	VII	452404	454560	+	2157	4445
tD(GUC)G2	VII	544577	544648	-	72	2
YGR271W	VII	1031791	1037694	+	5904	987
YGL025C	VII	448764	449957	-	1194	311
YGL176C	VII	171415	173079	-	1665	283
YGR031W	VII	546441	547469	+	1029	261
YGL102C	VII	311505	311933	-	429	77
YGR182C	VII	858551	858904	-	354	587
YGR025W	VII	532639	532941	+	303	148
YGL113W	VII	295932	297938	+	2007	403
YGR188C	VII	872044	875109	-	3066	355
YGL162W	VII	198138	199037	+	900	96
YGL084C	VII	350616	352298	-	1683	1240
snR10	VII	345986	346230	+	245	8
YGL196W	VII	129883	131169	+	1287	548
RME3	VII	33109	35013	-	1905	0
YGR230W	VII	951894	952307	+	414	70
YGR084C	VII	647123	648142	-	1020	891
YGL222C	VII	80659	81186	-	528	127
YGR166W	VII	830515	832197	+	1683	296
YGR122C-A	VII	735630	735758	-	129	29
YGR152C	VII	794674	795492	-	819	320
YGL210W	VII	93792	94460	+	669	471
YGR265W	VII	1021648	1022058	+	411	20
YGR157W	VII	802440	805049	+	2610	3832
YGL240W	VII	48613	49365	+	753	88
YGR085C	VII	648383	648907	-	525	7657
YGR237C	VII	963298	965655	-	2358	556
YGL146C	VII	228751	229686	-	936	78
YGL153W	VII	216273	217298	+	1026	136
YGR075C	VII	636147	636875	-	729	170
tT(UGU)G2	VII	1004216	1004287	+	72	0
YGL169W	VII	186059	187339	+	1281	620
YGR187C	VII	870232	871416	-	1185	1135
YGL167C	VII	187616	190468	-	2853	1744
YGR050C	VII	592086	592442	-	357	79
YGR035W-A	VII	557565	557786	+	222	62
YGR217W	VII	924696	930815	+	6120	777
YGR068C	VII	625324	627084	-	1761	296
YGR296W	VII;VII	1084864;1085031	1084882;1090591	+;+	5580	0
YGR177C	VII	848829	850436	-	1608	332
YGL068W	VII	375087	375671	+	585	272
tN(GUU)G	VII	731137	731210	+	74	2
YGL018C	VII	459110	459664	-	555	190
YGL188C	VII	149343	149516	-	174	194
YGR126W	VII	745835	746527	+	693	69
YGL065C	VII	379760	381271	-	1512	602
YGL014W	VII	466141	468807	+	2667	1218
YGL100W	VII	313234	314283	+	1050	839
YGR288W	VII	1070293	1071714	+	1422	150
YGL174W	VII	174545	175345	+	801	131
YGR211W	VII	915241	916701	+	1461	1730
YGL204C	VII	111700	112005	-	306	220
YGR270W	VII	1027370	1031509	+	4140	1649
YGR204W	VII	905934	908774	+	2841	10640
YGR266W	VII	1022656	1024761	+	2106	791
YGL070C	VII	374459	374827	-	369	579
YGL225W	VII	76894	77907	+	1014	3500
YGL120C	VII	281634	283937	-	2304	1766
tE(UUC)G1	VII	328583	328654	+	72	7
YGR252W	VII	996869	998188	+	1320	674
YGL106W	VII	306560	307009	+	450	1368
YGR284C	VII	1060658	1061590	-	933	1899
YGR032W	VII	548264	553951	+	5688	1741
YGR174C	VII	845893	846405	-	513	366
YGR208W	VII	911883	912812	+	930	1705
YGL016W	VII	461666	464911	+	3246	819
YGR255C	VII	1002523	1003962	-	1440	703
YGR146C-A	VII	785276	785437	-	162	24
YGL194C	VII	140368	141726	-	1359	205
YGL138C	VII	248494	249531	-	1038	4
YGR091W	VII	666341	667825	+	1485	299
YGR200C	VII	899904	902270	-	2367	1704
YGR191W	VII	880420	882231	+	1812	1461
YGR270C-A	VII	1027382	1027600	-	219	0
YGL227W	VII	69671	72547	+	2877	481
YGR081C	VII	643148	643780	-	633	339
YGL243W	VII	43307	44509	+	1203	306
YGL194C-A	VII	139719	139961	-	243	150
YGR148C	VII	787312	787779	-	468	9726
YGL136C	VII	252897	253859	-	963	286
YGR276C	VII	1043819	1045480	-	1662	830
YGL129C	VII	267723	269075	-	1353	880
tR(UCU)G2	VII	828723	828794	-	72	0
YGR053C	VII	594986	595837	-	852	78
YGR069W	VII	627083	627418	+	336	5
YGL224C	VII	78015	78857	-	843	557
YGL193C	VII	141916	142227	-	312	0
YGL020C	VII	457163	457870	-	708	992
YGL177W	VII	167559	167906	+	348	28
YGL189C	VII	148229	148588	-	360	8040
YGR122W	VII	733935	735143	+	1209	309
YGL003C	VII	492474	494174	-	1701	371
YGR210C	VII	913503	914738	-	1236	1444
tG(GCC)G1	VII	845649	845719	+	71	6
YGR079W	VII	640720	641832	+	1113	305
YGL115W	VII	292033	293001	+	969	907
YGL105W	VII	307437	308567	+	1131	3675
YGR026W	VII	532985	533821	+	837	1521
YGR087C	VII	651290	652981	-	1692	123
YGR278W	VII	1046731	1048464	+	1734	276
YGR042W	VII	579476	580291	+	816	347
YGR043C	VII	580435	581436	-	1002	356
YGL165C	VII	191398	191976	-	579	4
YGR110W	VII	713709	715046	+	1338	176
YGR089W	VII	656960	659770	+	2811	1074
YGL158W	VII	207033	208571	+	1539	30
YGR262C	VII	1016974	1017759	-	786	562
YGL200C	VII	122694	123305	-	612	3576
YGL117W	VII	288512	289309	+	798	691
YGL186C	VII	151037	152776	-	1740	2079
YGR010W	VII	511545	512732	+	1188	354
YGR198W	VII	894693	897146	+	2454	589
YGR137W	VII	762888	763262	+	375	89
YGL058W	VII	393986	394504	+	519	532
YGL226W	VII	73340	73711	+	372	194
YGL055W	VII	398628	400160	+	1533	11555
YGL184C	VII	154615	156012	-	1398	996
YGL024W	VII	449788	450123	+	336	6
tV(AAC)G3	VII	73829	73902	-	74	5
YGL151W	VII	217524	220922	+	3399	939
YGR101W	VII	693363	694403	+	1041	488
YGL230C	VII	63772	64215	-	444	27
YGR103W	VII	695417	697234	+	1818	3629
YGR096W	VII	676621	677565	+	945	130
YGR112W	VII	717358	718527	+	1170	396
tI(AAU)G	VII	739122	739195	+	74	4
YGL013C	VII	469092	472298	-	3207	1200
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	14537
YGR067C	VII	622372	624786	-	2415	59
YGR094W	VII	672186	675500	+	3315	7779
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	532
YGR045C	VII	583934	584296	-	363	7
YGR175C	VII	846933	848423	-	1491	4344
YGL008C	VII	479910	482666	-	2757	83738
YGR115C	VII	720372	721151	-	780	0
YGR108W	VII	703636	705051	+	1416	720
YGR218W	VII	932541	935795	+	3255	2051
YGR205W	VII	909213	910085	+	873	178
YGL073W	VII	368753	371254	+	2502	766
YGL009C	VII	476313	478652	-	2340	13419
YGL095C	VII	328874	330607	-	1734	567
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	3647
YGL214W	VII	90010	90495	+	486	3
YGR105W	VII	698599	698832	+	234	580
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	875
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	2
YGL217C	VII	84839	85180	-	342	11
YGL173C	VII	175527	180113	-	4587	3609
YGL086W	VII	347119	349368	+	2250	857
YGR223C	VII	940869	942215	-	1347	354
tS(AGA)G	VII	561662	561743	-	82	0
YGR077C	VII	637744	639513	-	1770	302
YGL052W	VII	403437	403742	+	306	40
YGR285C	VII	1061852	1063153	-	1302	4834
YGL080W	VII	358636	359028	+	393	333
YGL207W	VII	98969	102076	+	3108	3011
YGR261C	VII	1014321	1016750	-	2430	1309
YGR226C	VII	946792	947001	-	210	0
YGL140C	VII	241353	245012	-	3660	1615
YGL078C	VII	360288	361859	-	1572	2225
YGL199C	VII	123572	124042	-	471	0
YGR164W	VII	828625	828960	+	336	4
YGR150C	VII	790459	793053	-	2595	1166
YGL006W-A	VII	485423	485533	+	111	40
YGR196C	VII	889733	892186	-	2454	646
YGL197W	VII	124698	129161	+	4464	1109
YGR136W	VII	762428	763153	+	726	369
YGR153W	VII	796092	796745	+	654	152
YGL159W	VII	202721	203833	+	1113	401
YGR286C	VII	1063813	1064940	-	1128	1776
YGL254W	VII	22304	23203	+	900	346
tH(GUG)G1	VII	110625	110696	-	72	19
YGR023W	VII	529264	530919	+	1656	218
snR48	VII	609584	609696	+	113	18
YGL063W	VII	383654	384766	+	1113	148
YGL154C	VII	215278	216096	-	819	269
YGL035C	VII	431548	433062	-	1515	927
YGR009C	VII	509047	511002	-	1956	899
YGR034W	VII;VII	555812;556308	555830;556672	+;+	384	10834
YGL064C	VII	381523	383208	-	1686	345
YGR118W	VII;VII	726974;727358	727038;727730	+;+	438	13297
YGR277C	VII	1045644	1046561	-	918	551
YGR232W	VII	953960	954646	+	687	387
YGR227W	VII	947420	948997	+	1578	707
YGL142C	VII	236269	238119	-	1851	556
YGL143C	VII	234717	235958	-	1242	730
YGR222W	VII	939923	940804	+	882	483
YGL045W	VII	414102	415730	+	1629	174
YGL253W	VII	23935	25395	+	1461	8544
YGR257C	VII	1006205	1007305	-	1101	700
YGL131C	VII	261648	265859	-	4212	371
YGR064W	VII	617621	617989	+	369	7
YGR263C	VII	1017967	1019241	-	1275	273
YGL049C	VII	406860	409604	-	2745	1046
YGR296C-B	VII	1089746	1090228	-	483	0
YGL202W	VII	116059	117561	+	1503	4750
YGL258W-A	VII	9162	9395	+	234	14
YGR133W	VII	756896	757447	+	552	208
YGR109C	VII	705359	706501	-	1143	134
YGR037C	VII	559731	559994	-	264	2066
YGL077C	VII	362225	363916	-	1692	5237
YGR111W	VII	715828	717030	+	1203	467
YGR016W	VII	522261	522833	+	573	73
YGR245C	VII	979765	982068	-	2304	1652
YGR287C	VII	1067222	1068991	-	1770	309
YGL244W	VII	41498	43174	+	1677	1544
YGL057C	VII	394966	395829	-	864	205
YGL187C	VII	149704	150171	-	468	1983
YGR180C	VII	855264	856301	-	1038	2405
YGR116W	VII	720409	724764	+	4356	2171
YGL181W	VII	157906	159096	+	1191	768
YGR202C	VII	903474	904748	-	1275	914
YGL127C	VII	270392	270775	-	384	225
YGR203W	VII	905237	905683	+	447	309
YGL150C	VII	221104	225573	-	4470	1896
YGR134W	VII	757770	761138	+	3369	561
YGR095C	VII	675671	676342	-	672	417
YGR214W	VII;VII	920575;921120	920664;921788	+;+	759	11378
YGR269W	VII	1026636	1026962	+	327	21
YGR176W	VII	848720	849067	+	348	16
YGL263W	VII	2790	3932	+	1143	210
YGR057C	VII	604773	605501	-	729	350
YGL074C	VII	368596	368922	-	327	2
YGR007W	VII	506969	507940	+	972	656
YGR241C	VII	974875	976581	-	1707	517
YGR127W	VII	746798	747736	+	939	190
YGL219C	VII	82878	84257	-	1380	434
YGL061C	VII	388968	389711	-	744	372
YGR083C	VII	644860	646815	-	1956	1675
YGL038C	VII	425362	426804	-	1443	499
YGL047W	VII	411552	412160	+	609	276
YGR244C	VII	978036	979319	-	1284	1732
YGR289C	VII	1073963	1075813	-	1851	217
YGL089C	VII	344791	345153	-	363	56
YGL180W	VII	160065	162758	+	2694	250
YGR146C	VII	784223	784858	-	636	210
YGL149W	VII	225572	225877	+	306	79
YGL242C	VII	44652	45197	-	546	618
YGR106C	VII	698989	699786	-	798	3589
YGR004W	VII	502938	504326	+	1389	301
YGR209C	VII	912913	913227	-	315	1081
YGR052W	VII	593596	594705	+	1110	199
YGR158C	VII	805269	806021	-	753	545
YGR003W	VII	500132	502366	+	2235	439
YGR219W	VII	936035	936376	+	342	3
YGL247W	VII	36933	37526	+	594	250
YGR170W	VII	837142	840558	+	3417	985
YGR246C	VII	982482	984272	-	1791	541
YGL183C	VII;VII	156543;157283	157199;157285	-;-	660	39
YGR160W	VII	807073	807684	+	612	11
YGR204C-A	VII	909061	909174	-	114	20
YGR039W	VII	574888	575199	+	312	38
YGL059W	VII	392223	393698	+	1476	374
YGL123W	VII	277617	278381	+	765	16176
YGL099W	VII	314631	316553	+	1923	964
YGR102C	VII	694584	695135	-	552	249
YGL233W	VII	59122	61854	+	2733	811
YGL072C	VII	371003	371362	-	360	0
YGL056C	VII	396035	397618	-	1584	1120
YGR104C	VII	697445	698368	-	924	330
YGR240C	VII	970771	973734	-	2964	8957
YGR243W	VII	977336	977776	+	441	179
YGR275W	VII	1043276	1043749	+	474	439
YGL088W	VII	345836	346201	+	366	0
YGR020C	VII	526973	527329	-	357	1627
YGR100W	VII	690245	693097	+	2853	823
YGR231C	VII	952548	953480	-	933	2548
YGR215W	VII	922175	922507	+	333	500
YGR018C	VII	524365	524694	-	330	11
YGL152C	VII	216692	217369	-	678	0
YGL212W	VII	91432	92382	+	951	196
YGL066W	VII	377609	379582	+	1974	564
YGL060W	VII	390065	391990	+	1926	441
YGL185C	VII	153167	154306	-	1140	228
YGR145W	VII	781767	783890	+	2124	1309
YGL011C	VII	474489	475247	-	759	1776
YGR147C	VII	786054	786920	-	867	1095
YGR036C	VII	558149	558868	-	720	303
YGL122C	VII	278946	280523	-	1578	1322
YGL261C	VII	6290	6652	-	363	5
YGL041C	VII	419022	419225	-	204	0
YGR099W	VII	687899	689965	+	2067	608
YGR046W	VII	584895	586052	+	1158	569
YGL188C-A	VII	148824	148964	-	141	93
YGR216C	VII	922633	924462	-	1830	539
tG(UCC)G	VII	779616	779687	+	72	0
YGR047C	VII	586392	589469	-	3078	732
YGR238C	VII	966039	968687	-	2649	543
YGR282C	VII	1057783	1058724	-	942	11802
YGL132W	VII	261580	261915	+	336	7
tA(AGC)G	VII	774349	774421	+	73	0
YGR169C	VII	834689	835903	-	1215	381
YGR063C	VII	617516	617824	-	309	114
YGR256W	VII	1004624	1006102	+	1479	87
YGL036W	VII	428601	431330	+	2730	692
YGR192C	VII	882812	883810	-	999	138586
YGL191W	VII	144808	145197	+	390	1563
YGR051C	VII	592906	593229	-	324	68
YGR013W	VII	514554	516416	+	1863	564
YGR123C	VII	736662	738203	-	1542	897
YGL209W	VII	95858	97006	+	1149	267
YGL163C	VII	193707	196403	-	2697	611
YGR296C-A	VII	1088870	1089445	-	576	0
YGL178W	VII;VII	167352;167995	167354;170571	+;+	2580	541
YGL092W	VII	337906	341859	+	3954	1793
YGR132C	VII	755589	756452	-	864	2655
YGL208W	VII	97338	98585	+	1248	172
tL(GAG)G	VII	700675	700756	+	82	0
YGR059W	VII	607563	609101	+	1539	35
YGR114C	VII	720265	720654	-	390	0
YGR128C	VII	747950	750091	-	2142	1535
YGL246C	VII	37617	38780	-	1164	653
YGL190C	VII	145809	147389	-	1581	887
YGR033C	VII	554248	554967	-	720	846
YGL112C	VII	298178	299728	-	1551	891
YGL001C	VII	495453	496502	-	1050	1591
YGR168C	VII	833352	834482	-	1131	301
YGL093W	VII	334886	337639	+	2754	762
YGR120C	VII	730033	730821	-	789	230
YGR027C	VII	534132	534458	-	327	12816
YGL259W	VII	8470	8967	+	498	27
YGR294W	VII	1080306	1080668	+	363	2
YGR124W	VII	739944	741662	+	1719	6300
YGL103W	VII;VII	310967;311527	311015;311927	+;+	450	491
YGL062W	VII	385196	388732	+	3537	8343
YGR049W	VII	591314	591877	+	564	946
snR39	VII	365163	365251	-	89	72
YGR076C	VII	637104	637577	-	474	469
YGL161C	VII	199210	200142	-	933	1292
YGR062C	VII	616328	617278	-	951	282
tV(AAC)G1	VII	412294	412367	-	74	2
YGL237C	VII	52731	53528	-	798	216
YGR024C	VII	531883	532596	-	714	665
YGR184C	VII	859901	865753	-	5853	1877
YGR292W	VII	1076599	1078353	+	1755	100
YGR151C	VII	794655	794990	-	336	0
YGL034C	VII	433214	433579	-	366	7
YGL067W	VII	376101	377255	+	1155	498
YGR072W	VII	634304	635467	+	1164	576
YGL229C	VII	64503	66959	-	2457	222
YGR055W	VII	599417	601141	+	1725	2894
YGL044C	VII	416146	417036	-	891	512
YGL054C	VII	400871	401287	-	417	1705
YGL119W	VII	284442	285947	+	1506	487
YGR068W-A	VII	626294	626389	+	96	0
YGR206W	VII	910432	910737	+	306	139
YGR121W-A	VII	733412	733627	+	216	7
YGL130W	VII	266145	267524	+	1380	660
YGL042C	VII	418288	418593	-	306	117
YGR090W	VII	662358	666071	+	3714	1965
YGR221C	VII	937124	938992	-	1869	269
YGR143W	VII	775193	777508	+	2316	634
tR(UCU)G1	VII	405470	405541	+	72	1
YGL218W	VII	83650	84300	+	651	0
YGL198W	VII	123591	124298	+	708	178
YGL083W	VII	353058	355472	+	2415	567
tC(GCA)G	VII	707108	707179	-	72	0
YGR071C	VII	631481	634063	-	2583	436
YGR259C	VII	1012481	1012921	-	441	2
YGR058W	VII	606136	607143	+	1008	319
YGL195W	VII	131525	139543	+	8019	3858
YGL192W	VII	142246	144048	+	1803	0
YGL206C	VII	102543	107504	-	4962	2941
YGR060W	VII	610564	611493	+	930	9379
YGL257C	VII	12481	14157	-	1677	641
YGL236C	VII	53787	55796	-	2010	592
YGR138C	VII	763762	765606	-	1845	1138
YGR015C	VII	521090	522076	-	987	144
YGL023C	VII	450197	452104	-	1908	1245
YGL144C	VII	232450	234507	-	2058	260
YGL071W	VII	372012	374084	+	2073	734
tK(CUU)G3	VII	876394	876466	+	73	2
YGR080W	VII	642010	643008	+	999	531
YGL116W	VII	289809	291641	+	1833	342
YGR035C	VII	557072	557422	-	351	205
YGL201C	VII	117854	120907	-	3054	1128
YGR212W	VII	917040	918446	+	1407	148
YGR154C	VII	796798	797868	-	1071	134
YGL241W	VII	45445	48459	+	3015	759
YGL262W	VII	5312	5839	+	528	54
YGR247W	VII	984966	985685	+	720	240
YGR199W	VII	897502	899781	+	2280	1198
YGL260W	VII	6860	7090	+	231	0
YGR179C	VII	853675	854895	-	1221	335
YGR011W	VII	512497	512823	+	327	18
YGL111W	VII	299978	301369	+	1392	892
snR39B	VII	366374	366469	-	96	6
YGR073C	VII	635615	635986	-	372	1
YGR155W	VII	798543	800066	+	1524	5502
YGL114W	VII	293460	295637	+	2178	917
YGL255W	VII	20978	22108	+	1131	112
YGR066C	VII	620921	621799	-	879	30
YGR233C	VII	954674	958210	-	3537	673
YGR092W	VII	668189	669907	+	1719	514
YGL041W-A	VII	418825	419289	+	465	42
YGR171C	VII	840824	842551	-	1728	543
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	1
YGL171W	VII	182390	184084	+	1695	796
YGL029W	VII	440063	440425	+	363	830
YGR040W	VII	575398	576504	+	1107	377
YGR220C	VII	936074	936883	-	810	511
YGR268C	VII	1026057	1026653	-	597	235
YGL147C	VII	227754	228329	-	576	13341
tK(CUU)G1	VII	122269	122341	+	73	1
YGR144W	VII	780399	781379	+	981	97
YGR178C	VII	851047	853215	-	2169	2473
YGR113W	VII	718893	719924	+	1032	522
YGL203C	VII	112475	114664	-	2190	1288
YGL048C	VII	410069	411286	-	1218	2894
YGR207C	VII	910843	911628	-	786	1562
YGR258C	VII	1007671	1010766	-	3096	496
YGL091C	VII	342056	343042	-	987	477
YGR093W	VII	670388	671911	+	1524	536
YGR119C	VII	728046	729671	-	1626	1260
YGR213C	VII	918512	919465	-	954	109
YGR061C	VII	611889	615965	-	4077	9744
YGL182C	VII	157273	157596	-	324	8
YGR139W	VII	765726	766064	+	339	37
YGR121C	VII	731449	732927	-	1479	1167
YGL043W	VII	417483	418412	+	930	709
YGR280C	VII	1050910	1051725	-	816	861
YGL085W	VII	349616	350440	+	825	347
YGL031C	VII	437467	437934	-	468	11093
YGR117C	VII	725049	726479	-	1431	826
YGR254W	VII	1000927	1002240	+	1314	8681
YGR235C	VII	961360	962061	-	702	757
YGL124C	VII	274780	276714	-	1935	370
YGR236C	VII	962530	962817	-	288	5
YGL164C	VII	191978	193300	-	1323	371
YGR293C	VII	1079885	1080346	-	462	12
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	0
YGR264C	VII	1019598	1021853	-	2256	3787
YGL234W	VII	56482	58890	+	2409	13153
YGL109W	VII	303513	303836	+	324	38
YGL238W	VII	49552	52434	+	2883	1931
YGL041C-B	VII	418704	418886	-	183	2
YGR056W	VII	601661	604447	+	2787	641
YGR201C	VII	902520	903197	-	678	146
YGR239C	VII	969187	970053	-	867	581
YGR169C-A	VII	836387	836665	-	279	784
YGR185C	VII	866336	867520	-	1185	2756
YGR189C	VII	876669	878192	-	1524	3891
YGR022C	VII	529257	529586	-	330	1
YGR290W	VII	1075482	1075925	+	444	6
YGL205W	VII	108158	110404	+	2247	74
tK(CUU)G2	VII	185714	185786	-	73	0
YGL221C	VII	81426	82292	-	867	884
YGL108C	VII	303649	304071	-	423	210
YGL069C	VII	375050	375514	-	465	0
YGL135W	VII	254641	255294	+	654	15768
YGR253C	VII	998358	999140	-	783	2508
YGL053W	VII	402589	403302	+	714	254
YGL101W	VII	312193	312840	+	648	468
YGR271C-A	VII	1037800	1038501	-	702	850
YGR267C	VII	1025004	1025735	-	732	1741
YGR234W	VII	959904	961103	+	1200	14732
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	267
YGL141W	VII	238353	241085	+	2733	686
YGL245W	VII	39023	41149	+	2127	5873
YGL007W	VII	483260	483637	+	378	26
YGL005C	VII	489708	490547	-	840	556
YGL215W	VII	87981	89339	+	1359	1607
YGR173W	VII	843854	844960	+	1107	809
YGL249W	VII	33098	35212	+	2115	10
YGR161W-C	VII	810227	810505	+	279	137
YGR229C	VII	949382	950899	-	1518	1724
YGR070W	VII	627806	631273	+	3468	250
YGR135W	VII	761392	762168	+	777	2094
YGL014C-A	VII	466237	466398	-	162	0
YGR225W	VII;VII	945145;946421	946327;947019	+;+	1782	27
YGL258W	VII	11110	11730	+	621	12
tT(UGU)G1	VII	661749	661820	+	72	0
YGL139W	VII	245716	248124	+	2409	1333
YGL172W	VII	180700	182118	+	1419	949
YGR088W	VII	654634	656322	+	1689	162
YGL126W	VII	270997	272139	+	1143	588
YGR140W	VII	767429	770299	+	2871	598
